"2"|"12215062"|"2723156"
"3"|"12215062"|"2723157"
"2"|"12215062"|"2723158"
"3"|"12215062"|"2723159"
"4"|"12215062"|"2723160"
"2"|"12215064"|"2723161"
"4"|"12215065"|"2723162"
"2"|"12215065"|"2723163"
"3"|"12215066"|"2723164"
"2"|"12215066"|"2723165"
"4"|"12215067"|"2723166"
"2"|"12215067"|"2723167"
"2"|"12215105"|"2723231"
"4"|"12215105"|"2723232"
"4"|"12215106"|"2723233"
"2"|"12215106"|"2723234"
"4"|"12215107"|"2723235"
"2"|"12215107"|"2723236"
"4"|"12215108"|"2723237"
"2"|"12215108"|"2723238"
"4"|"12215109"|"2723239"
"2"|"12215109"|"2723240"
"4"|"12215110"|"2723241"
"2"|"12215110"|"2723242"
"2"|"12215117"|"2723254"
"4"|"12215117"|"2723255"
"4"|"12215118"|"2723256"
"2"|"12215118"|"2723257"
"4"|"12215119"|"2723258"
"2"|"12215119"|"2723259"
"4"|"12215120"|"2723260"
"2"|"12215120"|"2723261"
"4"|"12215121"|"2723262"
"2"|"12215121"|"2723263"
"4"|"12215122"|"2723264"
"2"|"12215122"|"2723265"
