|"Base Slope"|||"17411243"|"5609551"
|"Head Slope"|||"17411243"|"5609552"
|"Interfluve"|||"17411225"|"5609535"
|"Interfluve"|||"17411277"|"5609581"
|"Interfluve"|||"17411276"|"5609580"
|"Interfluve"|||"17411272"|"5609576"
|"Interfluve"|||"17411271"|"5609575"
|"Base Slope"|||"17411295"|"5609586"
|"Base Slope"|||"17411230"|"5609540"
|"Side Slope"|||"17411294"|"5609584"
|"Crest"|||"17411294"|"5609585"
