"Ap"||"A"|||0|0|0|9|15|25|9|15|25|0|0|0|0|0|0|100|100|100|100|100|100|74|77|80|37|39|45|53|67|67|2|4.4|4.4|12|14.3|14.3|14|17.7|17.7|16|19.8|19.9|9|10.8|11|19|19|33||13|||6||8|14|16|0|0|0|1.1|1.25|2||||1.48|1.52|1.56||||1.54|1.58|1.66|2.61|14.11|28|42.34|0.09|0.1|0.11||||16.4|20.2|22.1|6.7|10.7|13.1|38|40|41|0|1.4|3|21|27|31|4|9|10|0|0|1|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0.5|2|7.3|12.1|13.9||||7.2|12.9|14.6|6.6|7|7.6|6|6.5|7|||||||0.3|2.5|4.1|||||||||||||||||||||"12126447"|"34650079"
"Bt1"||"B"||1|9|15|25|23|30|43|14|15|34|0|0|0|0|0|0|100|100|100|100|100|100|83|86|89|44|48|51|52|57|63|1|1.2|1.6|7|7.6|8|18|20.2|21|17|18.3|21|9|9.7|11.4|12|18|23||12|||6||18|25|27|0|0|0|1.1|1.15|1.25||||1.41|1.51|1.61||||1.56|1.66|1.8|2.63|4.23|6|14.11|0.08|0.11|0.12||||22.1|25.2|26.1|13|17.4|18.8|37|40|44|3|3.3|6|31|37|41|12|17|19|1|4|6|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0.5|2|15.1|20.4|21.9||||15|20.6|22|6.6|7.2|7.6|6|6.6|7|||||||1.2|2.9|4.7|||||||||||||||||||||"12126447"|"34650080"
"Bt2"||"B"||2|23|30|43|39|48|58|16|18|35|0|0|0|0|0|0|100|100|100|100|100|100|83|86|89|44|48|51|52|57|63|1|1.2|1.6|7|7.6|8|18|20.2|21|17|18.3|21|9|9.7|11.4|12|18|23||12|||6||18|25|27|0|1|1|0.4|0.48|0.75||||1.41|1.51|1.61||||1.55|1.65|1.8|2.64|4.23|6|14.11|0.08|0.11|0.12||||21.3|24.6|25.7|12|16.5|18.1|37|41|44|0|3|6|28|36|40|11|17|19|1|4|6|".20"|".20"|1|1|3|0|0|0|0|0|0|0|0.5|2|14.6|19|20.8||||15.2|19.3|21|6.6|7.4|7.6|6|6.9|7|||||||0.9|1.9|4.4|||||||||||||||||||||"12126447"|"34650081"
"Bk"||"B"|||39|48|58|76|89|129|37|41|71|0|0|0|0|0|0|100|100|100|100|100|100|82|84|87|41|44|49|56|62|68|1|2|3|7|9|10|20|21|23|19|20|21|9|10|11|12|15|24||10|||5||20|23|28|2|4|5|0.2|0.22|0.5||||1.37|1.48|1.6||||1.47|1.58|1.62|2.64|4.23|6|14.11|0.09|0.11|0.12||||21.9|23.3|25.6|12.7|14.6|18.1|37|42|46|0|2.1|3|28|32|38|11|14|18|1|2|5|".20"|".20"|5|8|10|0|0|0|0|0|1|0|0.5|2|14.2|14.9|18.3||||14.2|14.9|18.3|7.9|8.2|9|7.6|7.7|8.2|||||||0|0|0.5|||||||||||||||||||||"12126447"|"34650082"
"C"||"C"|||76|89|129|200|200|200|71|111|124|0|0|0|0|0|0|100|100|100|100|100|100|68|74|84|23|27|33|66|75|81|2|5|5.5|13|14|15.5|14|28|29|22|24|55|3|4|5|3|11|25||7|||4||9|14|16|2|4|5|0.1|0.1|0.15||||1.51|1.62|1.73||||1.55|1.66|1.77|2.64|14.11|28|42.34|0.09|0.1|0.11||||15.9|19.3|20.6|6.3|9.7|11.1|33|37|41|0|0.9|3|18|23|27|3|7|10|0|0|0|".15"|".15"|5|8|10|0|0|0|0|0|1|0|0.5|2|5.9|8.1|9||||5.9|8.1|9|7.9|8.2|9|7.6|7.7|8.2|||||||0|0|0|||||||||||||||||||||"12126447"|"34650083"
"H1"||"H"||1||0|||28|||||0|0|0|0|0|0|95|97.5|100|75|87.5|100|50|62.5|75|15|27.5|40||84.3|||1.1|||12.2|||26.6|||32.1|||12.3|||9.2||||||||3|6.5|10||||2|3|4||||1.5|1.55|1.6|||||1.63|||42|92|141|0.08|0.1|0.12||21.4|||16.9|||7.9|||33||0|1.5|2.9||||0|0|0|0|0|0|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|5|10|15|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"12126378"|"34649989"
"H2"||"H"||2||28|||48|||||0|0|0|0|0|0|95|97.5|100|75|87.5|100|50|67.5|85|30|42.5|55||66.8|||4.4|||14.3|||17.7|||19.8|||10.6|||19.2||||||||10|14|18||||1|1.5|2||||1.4|1.45|1.5|||||1.52|||14.11|28|42.33|0.11|0.13|0.15|||||18.3|||9.4|||37||0|1.5|2.9|15|20|25|0|2.5|5|0|0|0|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|5|10|15|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"12126378"|"34649990"
"H3"||"H"||3||48|||152|||||0|0|0|0|0|0|95|97.5|100|75|87.5|100|40|62.5|85|5|17.5|30||96|||0.7|||13.1|||37.2|||37.8|||7.2|||1.5||||||||0|2.5|5||||0.5|0.75|1||||1.6|1.65|1.7|||||1.73|||42|92|141|0.05|0.09|0.13||12.3|||8.5|||2.6|||31||0|1.5|2.9||||0|0|0|0|0|0|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|1|3|5|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"12126378"|"34649991"
"H1"||"H"||1||0|||25|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|70|80|90||11.6|||0.2|||0.4|||0.9|||3.4|||6.7|||69.4||||||||13|19|25||||2|3|4||||1.15|1.23|1.3|||||1.29|||4|23|42|0.18|0.2|0.21|||||27.8|||12.6|||48||0|1.5|2.9|30|32.5|35|5|7.5|10|2|5|9|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.1|7.3|8.4|||||||||||||||||||||||||||||||||"12126385"|"34649994"
"H2"||"H"||2||25|||76|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|85|90|95||6.9|||0.4|||0.6|||0.9|||2.2|||2.8|||62.1||||||||27|31|35||||1|1.5|2||||1.15|1.23|1.3|||||1.29|||4|23|42|0.18|0.2|0.21|||||30.6|||16.7|||49||0|1.5|2.9|30|37.5|45|5|10|15|4|10|17|".37"|".37"|1|6|10|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"12126385"|"34649995"
