"Aquic"|"12574696"|"4051742"
"Aquic"|"12574695"|"4051741"
"Aquic"|"12574694"|"4051740"
"Udic"|"12574693"|"4051739"
"Aquic"|"12574692"|"4051738"
"Udic"|"12574720"|"4051754"
"Aquic"|"12574719"|"4051753"
"Aquic"|"12574783"|"4051807"
"Udic"|"12574782"|"4051806"
"Aquic"|"12574743"|"4051774"
"Udic"|"12574742"|"4051773"
"Aquic"|"12574741"|"4051772"
"Udic"|"12574718"|"4051752"
"Aquic"|"12574717"|"4051751"
"Aquic"|"12574713"|"4051747"
"Aquic"|"12574712"|"4051746"
"Aquic"|"12574711"|"4051745"
"Aquic"|"12574716"|"4051750"
"Aquic"|"12574715"|"4051749"
"Udic"|"12574714"|"4051748"
"Udic"|"12574737"|"4051770"
