140|"296917"|"2650869"|"17095977"
140|"296918"|"2650869"|"17096068"
140|"296920"|"2650869"|"17096195"
140|"296921"|"2650869"|"17096304"
474|"296921"|"182258"|"17096360"
474|"296920"|"182258"|"17096238"
474|"296918"|"182258"|"17096055"
474|"296917"|"182258"|"17095966"
6746|"296921"|"182242"|"17096310"
6746|"296920"|"182242"|"17096200"
1832|"296919"|"182242"|"17096147"
4914|"296918"|"182242"|"17096074"
6746|"296917"|"182242"|"17095994"
5089|"296921"|"182238"|"17096309"
5089|"296920"|"182238"|"17096211"
1611|"296919"|"182238"|"17096158"
3478|"296918"|"182238"|"17096073"
5089|"296917"|"182238"|"17095993"
17441|"296921"|"182231"|"17096347"
17441|"296920"|"182231"|"17096220"
2536|"296919"|"182231"|"17096114"
14905|"296918"|"182231"|"17096039"
17441|"296917"|"182231"|"17095950"
729|"296921"|"182228"|"17096284"
729|"296920"|"182228"|"17096199"
6|"296919"|"182228"|"17096126"
723|"296918"|"182228"|"17096053"
729|"296917"|"182228"|"17095964"
6452|"296921"|"182217"|"17096313"
6452|"296920"|"182217"|"17096215"
784|"296919"|"182217"|"17096162"
5668|"296918"|"182217"|"17096079"
6452|"296917"|"182217"|"17095997"
1969|"296921"|"182212"|"17096323"
1969|"296920"|"182212"|"17096213"
121|"296919"|"182212"|"17096160"
1848|"296918"|"182212"|"17096078"
1969|"296917"|"182212"|"17095995"
9501|"296921"|"182211"|"17096322"
9501|"296920"|"182211"|"17096212"
237|"296919"|"182211"|"17096159"
9264|"296918"|"182211"|"17096089"
9501|"296917"|"182211"|"17096006"
6559|"296921"|"182197"|"17096290"
6559|"296920"|"182197"|"17096237"
6559|"296918"|"182197"|"17096054"
6559|"296917"|"182197"|"17095965"
991|"296921"|"182179"|"17096327"
991|"296920"|"182179"|"17096258"
991|"296918"|"182179"|"17096094"
991|"296917"|"182179"|"17096011"
12514|"296921"|"182177"|"17096326"
12514|"296920"|"182177"|"17096257"
12514|"296918"|"182177"|"17096093"
12514|"296917"|"182177"|"17096010"
3407|"296921"|"182169"|"17096300"
3407|"296920"|"182169"|"17096247"
81|"296919"|"182169"|"17096139"
3326|"296918"|"182169"|"17096064"
3407|"296917"|"182169"|"17095975"
438|"296921"|"182112"|"17096341"
438|"296920"|"182112"|"17096260"
438|"296918"|"182112"|"17096099"
438|"296917"|"182112"|"17096013"
1164|"296921"|"182105"|"17096340"
1164|"296920"|"182105"|"17096271"
69|"296919"|"182105"|"17096181"
1095|"296918"|"182105"|"17096098"
1164|"296917"|"182105"|"17096024"
527|"296921"|"182101"|"17096289"
527|"296920"|"182101"|"17096236"
3|"296919"|"182101"|"17096140"
524|"296918"|"182101"|"17096065"
527|"296917"|"182101"|"17095976"
7338|"296921"|"182092"|"17096352"
7338|"296920"|"182092"|"17096234"
345|"296919"|"182092"|"17096124"
6993|"296918"|"182092"|"17096051"
7338|"296917"|"182092"|"17095962"
