"Backslope"|"18174401"|"7236799"
"Summit"|"18174401"|"7236800"
"Summit"|"18174434"|"7236816"
"Backslope"|"18174434"|"7236817"
"Summit"|"18174369"|"7236776"
"Footslope"|"18174369"|"7236777"
"Toeslope"|"18174237"|"7236676"
"Toeslope"|"18174372"|"7236781"
"Toeslope"|"18174409"|"7236803"
"Toeslope"|"18174373"|"7236782"
"Toeslope"|"18174381"|"7236789"
"Toeslope"|"18174326"|"7236765"
"Toeslope"|"18174427"|"7236806"
"Toeslope"|"18174235"|"7236674"
"Toeslope"|"18174428"|"7236807"
"Toeslope"|"18174236"|"7236675"
"Toeslope"|"18174429"|"7236808"
"Toeslope"|"18174430"|"7236809"
"Toeslope"|"18174448"|"7236828"
"Footslope"|"18174431"|"7236810"
"Summit"|"18174431"|"7236811"
"Footslope"|"18174449"|"7236829"
"Summit"|"18174449"|"7236830"
"Toeslope"|"18174313"|"7236748"
"Toeslope"|"18174392"|"7236793"
"Footslope"|"18174253"|"7236689"
"Summit"|"18174253"|"7236690"
"Summit"|"18174314"|"7236749"
"Footslope"|"18174314"|"7236750"
"Toeslope"|"18174303"|"7236734"
"Toeslope"|"18174393"|"7236794"
"Summit"|"18174363"|"7236774"
"Shoulder"|"18174363"|"7236775"
"Summit"|"18174280"|"7236700"
"Summit"|"18174281"|"7236701"
"Footslope"|"18174371"|"7236780"
"Toeslope"|"18174248"|"7236680"
"Toeslope"|"18174315"|"7236751"
"Backslope"|"18174249"|"7236681"
"Summit"|"18174249"|"7236682"
"Backslope"|"18174316"|"7236752"
"Summit"|"18174316"|"7236753"
"Toeslope"|"18174379"|"7236788"
"Summit"|"18174327"|"7236766"
"Footslope"|"18174327"|"7236767"
"Toeslope"|"18174329"|"7236768"
