"CL"|"Yes"|"33367437"|"63325287"
"CL"|"Yes"|"33367436"|"63325286"
"CL"|"No "|"33367435"|"63325284"
"ML"|"Yes"|"33367435"|"63325285"
"CL"|"No "|"33367434"|"63325282"
"ML"|"Yes"|"33367434"|"63325283"
"CL"|"Yes"|"33367499"|"63325341"
"CL"|"Yes"|"33367498"|"63325340"
"CL"|"Yes"|"33367497"|"63325339"
"CL"|"Yes"|"33367866"|"63325770"
"CL"|"Yes"|"33367865"|"63325769"
"ML"|"Yes"|"33367864"|"63325768"
"ML"|"Yes"|"33367863"|"63325767"
"ML"|"Yes"|"33367862"|"63325766"
"CL"|"No "|"33367421"|"63325271"
"ML"|"Yes"|"33367421"|"63325272"
"ML"|"Yes"|"33367420"|"63325269"
"CL"|"No "|"33367420"|"63325270"
"CL"|"Yes"|"33367419"|"63325267"
"CH"|"No "|"33367419"|"63325268"
"CL"|"Yes"|"33367418"|"63325265"
"CH"|"No "|"33367418"|"63325266"
"CH"|"No "|"33367417"|"63325263"
"CL"|"Yes"|"33367417"|"63325264"
"CH"|"No "|"33367416"|"63325261"
"CL"|"Yes"|"33367416"|"63325262"
"CH"|"No "|"33367415"|"63325259"
"CL"|"Yes"|"33367415"|"63325260"
"CL"|"Yes"|"33367408"|"63325257"
"CH"|"No "|"33367408"|"63325258"
"CH"|"No "|"33367407"|"63325255"
"CL"|"Yes"|"33367407"|"63325256"
"CH"|"No "|"33367406"|"63325253"
"CL"|"Yes"|"33367406"|"63325254"
"CH"|"No "|"33367405"|"63325251"
"CL"|"Yes"|"33367405"|"63325252"
"CH"|"No "|"33367494"|"63325337"
"CL"|"Yes"|"33367494"|"63325338"
"CH"|"Yes"|"33367493"|"63325336"
"CH"|"Yes"|"33367492"|"63325334"
"CL"|"No "|"33367492"|"63325335"
"CH"|"Yes"|"33367491"|"63325333"
"CH"|"Yes"|"33367490"|"63325332"
"SW"|"No "|"33367489"|"63325329"
"SP"|"No "|"33367489"|"63325330"
"SP-SM"|"Yes"|"33367489"|"63325331"
"SC-SM"|"No "|"33367488"|"63325327"
"SC"|"Yes"|"33367488"|"63325328"
"CL"|"Yes"|"33367487"|"63325326"
"CL"|"Yes"|"33367824"|"63325734"
"CH"|"No "|"33367824"|"63325735"
"CL"|"No "|"33367823"|"63325732"
"ML"|"Yes"|"33367823"|"63325733"
"ML"|"Yes"|"33367822"|"63325730"
"CL"|"No "|"33367822"|"63325731"
