5116|"278437"|"407701"|"15880487"
5116|"278436"|"407701"|"15880348"
5116|"278434"|"407701"|"15880234"
5116|"278432"|"407701"|"15880079"
5116|"278431"|"407701"|"15879940"
2684|"278437"|"407682"|"15880500"
2684|"278436"|"407682"|"15880475"
2684|"278434"|"407682"|"15880333"
2684|"278432"|"407682"|"15880092"
2684|"278431"|"407682"|"15880061"
1646|"278437"|"407673"|"15880533"
1646|"278436"|"407673"|"15880466"
1646|"278434"|"407673"|"15880300"
1646|"278432"|"407673"|"15880074"
1646|"278431"|"407673"|"15880013"
35440|"278437"|"407671"|"15880490"
35440|"278436"|"407671"|"15880345"
35440|"278434"|"407671"|"15880231"
35440|"278432"|"407671"|"15880082"
35440|"278431"|"407671"|"15879937"
11265|"278437"|"407666"|"15880501"
11265|"278436"|"407666"|"15880350"
11265|"278434"|"407666"|"15880344"
11265|"278432"|"407666"|"15880093"
11265|"278431"|"407666"|"15880072"
12489|"278437"|"407663"|"15880527"
12489|"278436"|"407663"|"15880472"
12489|"278434"|"407663"|"15880306"
12489|"278432"|"407663"|"15880134"
12489|"278431"|"407663"|"15880019"
495|"278437"|"407646"|"15880532"
495|"278436"|"407646"|"15880390"
495|"278434"|"407646"|"15880314"
495|"278432"|"407646"|"15880127"
495|"278431"|"407646"|"15880026"
1428|"278437"|"407645"|"15880521"
1428|"278436"|"407645"|"15880379"
1428|"278434"|"407645"|"15880313"
1428|"278432"|"407645"|"15880128"
1428|"278431"|"407645"|"15880025"
8803|"278437"|"407634"|"15880524"
8803|"278436"|"407634"|"15880382"
8803|"278434"|"407634"|"15880310"
8803|"278432"|"407634"|"15880119"
8803|"278431"|"407634"|"15880034"
2713|"278437"|"407608"|"15880601"
2713|"278436"|"407608"|"15880404"
2713|"278434"|"407608"|"15880251"
2713|"278432"|"407608"|"15880164"
2713|"278431"|"407608"|"15879975"
17786|"278437"|"407607"|"15880600"
17786|"278436"|"407607"|"15880405"
17786|"278434"|"407607"|"15880250"
17786|"278432"|"407607"|"15880165"
17786|"278431"|"407607"|"15879974"
10373|"278437"|"407596"|"15880483"
10373|"278436"|"407596"|"15880356"
10373|"278434"|"407596"|"15880332"
10373|"278432"|"407596"|"15880105"
10373|"278431"|"407596"|"15880060"
32917|"278437"|"407593"|"15880593"
32917|"278436"|"407593"|"15880420"
32917|"278434"|"407593"|"15880245"
32917|"278432"|"407593"|"15880171"
32917|"278431"|"407593"|"15879963"
34441|"278437"|"407592"|"15880604"
34441|"278436"|"407592"|"15880409"
34441|"278434"|"407592"|"15880254"
34441|"278432"|"407592"|"15880172"
34441|"278431"|"407592"|"15879960"
