0|6|11||2|4|5||||"33367502"|"56965883"
0|3|6||5|40|75||||"33367502"|"56965884"
0|2|3||75|162|250||||"33367502"|"56965885"
0|6|11||2|4|5||||"33367501"|"56965880"
0|3|6||5|40|75||||"33367501"|"56965881"
0|2|3||75|162|250||||"33367501"|"56965882"
0|6|11||2|4|5||||"33367500"|"56965877"
0|3|6||5|40|75||||"33367500"|"56965878"
0|2|3||75|162|250||||"33367500"|"56965879"
0|3|6||2|4|5||||"33367499"|"56965875"
0|2|3||5|40|75||||"33367499"|"56965876"
0|3|6||2|4|5||||"33367498"|"56965873"
0|2|3||5|40|75||||"33367498"|"56965874"
0|3|6||2|4|5||||"33367497"|"56965871"
0|2|3||5|40|75||||"33367497"|"56965872"
0|3|6||2|4|5||||"33367414"|"56965800"
0|3|6||2|4|5||||"33367413"|"56965799"
0|3|6||2|4|5||||"33367412"|"56965798"
0|3|6||2|4|5||||"33367411"|"56965797"
0|3|6||2|4|5||||"33367410"|"56965796"
0|3|6||2|4|5||||"33367409"|"56965795"
0|5|11||2|4|5||||"33367489"|"56965869"
6|9|17||5|40|75||||"33367489"|"56965870"
0|4|8||2|4|5||||"33367488"|"56965867"
0|3|6||5|40|75||||"33367488"|"56965868"
0|4|8||2|4|5||||"33367487"|"56965865"
0|3|6||5|40|75||||"33367487"|"56965866"
0|2|3||2|4|5||||"33367821"|"56966318"
0|2|3||2|4|5||||"33367820"|"56966317"
0|2|3||2|4|5||||"33367819"|"56966316"
0|2|3||2|4|5||||"33367818"|"56966315"
0|3|6||2|4|5||||"33367790"|"56966300"
3|5|6||5|40|75||||"33367790"|"56966301"
0|2|3||75|162|250||||"33367790"|"56966302"
0|3|6||2|4|5||||"33367789"|"56966298"
3|5|6||5|40|75||||"33367789"|"56966299"
0|3|6||2|4|5||||"33367788"|"56966296"
3|5|6||5|40|75||||"33367788"|"56966297"
0|3|6||2|4|5||||"33367787"|"56966293"
3|5|6||5|40|75||||"33367787"|"56966294"
0|2|3||75|162|250||||"33367787"|"56966295"
0|3|6||2|4|5||||"33367786"|"56966292"
0|3|6||2|4|5||||"33367785"|"56966291"
0|3|6||2|4|5||||"33367784"|"56966290"
0|3|6||2|4|5||||"33367783"|"56966289"
0|3|6||2|4|5||||"33367782"|"56966288"
0|3|6||2|4|5||||"33367781"|"56966287"
0|2|3||2|4|5||||"33367759"|"56966266"
0|2|3||2|4|5||||"33367758"|"56966265"
0|2|3||2|4|5||||"33367757"|"56966264"
0|2|3||2|4|5||||"33367756"|"56966263"
0|3|6||2|4|5||||"33368438"|"56966831"
3|5|6||5|40|75||||"33368438"|"56966832"
0|3|6||2|4|5||||"33368437"|"56966828"
3|5|6||5|40|75||||"33368437"|"56966829"
0|2|3||75|162|250||||"33368437"|"56966830"
0|3|6||2|4|5||||"33368436"|"56966825"
3|5|6||5|40|75||||"33368436"|"56966826"
0|2|3||75|162|250||||"33368436"|"56966827"
0|3|6||2|4|5||||"33368435"|"56966822"
3|5|6||5|40|75||||"33368435"|"56966823"
0|2|3||75|162|250||||"33368435"|"56966824"
0|3|6||2|4|5||||"33368434"|"56966820"
3|5|6||5|40|75||||"33368434"|"56966821"
0|3|6||2|4|5||||"33368433"|"56966817"
3|5|6||5|40|75||||"33368433"|"56966818"
0|2|3||75|162|250||||"33368433"|"56966819"
