"Friable"|||||||"Yes"|"33368592"|"2127331"
"Friable"|||||||"Yes"|"33368593"|"2127330"
"Friable"|||||||"Yes"|"33368594"|"2127326"
"Friable"|||||||"Yes"|"33368595"|"2127329"
"Friable"|||||||"Yes"|"33368596"|"2127325"
"Friable"|||||||"Yes"|"33368597"|"2127328"
"Friable"|||||||"Yes"|"33368598"|"2127327"
"Friable"|||||||"Yes"|"33368617"|"2127341"
"Friable"|||||||"Yes"|"33368618"|"2127339"
"Friable"|||||||"Yes"|"33368619"|"2127342"
"Friable"|||||||"Yes"|"33368620"|"2127343"
"Friable"|||||||"Yes"|"33368621"|"2127340"
"Friable"|||||||"Yes"|"33368622"|"2127344"
"Friable"|||||||"Yes"|"33368623"|"2127345"
"Friable"|||||||"Yes"|"33368624"|"2127346"
"Friable"|||||||"Yes"|"33368422"|"2127299"
"Friable"|||||||"Yes"|"33368423"|"2127300"
"Friable"|||||||"Yes"|"33368424"|"2127301"
"Friable"|||||||"Yes"|"33368425"|"2127302"
"Friable"|||||||"Yes"|"33368426"|"2127303"
"Friable"|||||||"Yes"|"33368427"|"2127304"
"Friable"|||||||"Yes"|"33368428"|"2127305"
"Friable"|||||||"Yes"|"33368439"|"2127312"
"Friable"|||||||"Yes"|"33368440"|"2127313"
"Friable"|||||||"Yes"|"33368441"|"2127314"
"Friable"|||||||"Yes"|"33368442"|"2127316"
"Friable"|||||||"Yes"|"33368443"|"2127317"
"Friable"|||||||"Yes"|"33368444"|"2127318"
"Friable"|||||||"Yes"|"33368445"|"2127315"
"Friable"|||||||"Yes"|"33368450"|"2127308"
"Friable"|||||||"Yes"|"33368451"|"2127307"
"Friable"|||||||"Yes"|"33368452"|"2127310"
"Friable"|||||||"Yes"|"33368453"|"2127309"
"Friable"|||||||"Yes"|"33368454"|"2127311"
"Friable"|||||||"Yes"|"33368455"|"2127306"
