"p"|"35936415"|"12989312"
"g"|"35936416"|"12989313"
"t"|"35936416"|"12989314"
"g"|"35936417"|"12989315"
"t"|"35936417"|"12989316"
"g"|"35936419"|"12989317"
"g"|"35936420"|"12989245"
"p"|"35936421"|"12989242"
"t"|"35936422"|"12989243"
"g"|"35936422"|"12989244"
"t"|"35936423"|"12989246"
"g"|"35936423"|"12989247"
"p"|"35935203"|"12988751"
"g"|"35935204"|"12988752"
"t"|"35935204"|"12988753"
"g"|"35935205"|"12988754"
"t"|"35935205"|"12988755"
"g"|"35935207"|"12988756"
"g"|"35935208"|"12988604"
"p"|"35935209"|"12988601"
"t"|"35935210"|"12988602"
"g"|"35935210"|"12988603"
"t"|"35935211"|"12988605"
"g"|"35935211"|"12988606"
"p"|"35935212"|"12988513"
"t"|"35935213"|"12988514"
"p"|"35935215"|"12988520"
"t"|"35935216"|"12988521"
"g"|"35935216"|"12988522"
"t"|"35935217"|"12988523"
"g"|"35935217"|"12988524"
"g"|"35935218"|"12988760"
"p"|"35935219"|"12988502"
"t"|"35935220"|"12988506"
"t"|"35935221"|"12988503"
"g"|"35935221"|"12988504"
"g"|"35935222"|"12988505"
"g"|"35935223"|"12988525"
"p"|"35935224"|"12988515"
"g"|"35935225"|"12988516"
"t"|"35935226"|"12988517"
"g"|"35935226"|"12988518"
"g"|"35935227"|"12988519"
"p"|"35935228"|"12988507"
"t"|"35935229"|"12988508"
"g"|"35935229"|"12988509"
"g"|"35935230"|"12988510"
"t"|"35935231"|"12988511"
"g"|"35935231"|"12988512"
|"35933763"|"12988759"
"t"|"35934658"|"12988380"
"g"|"35934658"|"12988381"
"g"|"35934659"|"12988382"
