"Udic"|"12574782"|"4051806"
"Aquic"|"12574783"|"4051807"
"Aquic"|"12574110"|"4051461"
"Udic"|"12574111"|"4051462"
"Aquic"|"12574112"|"4051463"
"Aquic"|"12574113"|"4051464"
"Aquic"|"12574114"|"4051465"
"Udic"|"12574431"|"4051623"
"Aquic"|"12574432"|"4051624"
"Udic"|"12574434"|"4051625"
"Aquic"|"12574435"|"4051626"
"Udic"|"12574436"|"4051627"
"Aquic"|"12574438"|"4051628"
"Aquic"|"12574439"|"4051629"
"Udic"|"12574015"|"4051438"
"Aquic"|"12574692"|"4051738"
"Udic"|"12574693"|"4051739"
"Aquic"|"12574694"|"4051740"
"Aquic"|"12574695"|"4051741"
"Aquic"|"12574696"|"4051742"
