|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574112"|"71162108"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574112"|"71163018"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574113"|"71152188"
|3||"ALSE2"|"Alnus serrulata"|"hazel alder"|"12574113"|"71152382"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574113"|"71152805"
|9||"BENI"|"Betula nigra"|"river birch"|"12574113"|"71153055"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574113"|"71153459"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"12574113"|"71153751"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574113"|"71154034"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574113"|"71154599"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574113"|"71154940"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574113"|"71155216"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574113"|"71155510"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574113"|"71155866"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574113"|"71156368"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574113"|"71157178"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574113"|"71157312"
|5||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574113"|"71157791"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574113"|"71158112"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574113"|"71158934"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574113"|"71159290"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574113"|"71160262"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574113"|"71160484"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574113"|"71160934"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574113"|"71161563"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574113"|"71162109"
|5||"THOC2"|"Thuja occidentalis"|"northern white-cedar"|"12574113"|"71162323"
|2||"VACO"|"Vaccinium corymbosum"|"highbush blueberry"|"12574113"|"71162445"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574113"|"71163019"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574113"|"71163412"
|9||"ACRU"|"Acer rubrum"|"red maple"|"12574114"|"71152189"
|3||"ALSE2"|"Alnus serrulata"|"hazel alder"|"12574114"|"71152383"
|2||"ARME6"|"Aronia melanocarpa"|"black chokeberry"|"12574114"|"71152806"
|9||"BENI"|"Betula nigra"|"river birch"|"12574114"|"71153056"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574114"|"71153448"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"12574114"|"71153752"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"12574114"|"71154035"
|3||"CODR"|"Cornus drummondii"|"roughleaf dogwood"|"12574114"|"71154600"
|2||"CORA6"|"Cornus racemosa"|"gray dogwood"|"12574114"|"71154929"
|2||"COSES"|"Cornus sericea subsp. sericea"|"redosier dogwood"|"12574114"|"71155217"
|3||"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"12574114"|"71155511"
|5||"CRVI2"|"Crataegus viridis"|"green hawthorn"|"12574114"|"71155867"
|2||"ILVE"|"Ilex verticillata"|"common winterberry"|"12574114"|"71156369"
|2||"LIBE3"|"Lindera benzoin"|"northern spicebush"|"12574114"|"71157179"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"12574114"|"71157313"
|5||"NYSY"|"Nyssa sylvatica"|"blackgum"|"12574114"|"71157792"
|2||"PHOP"|"Physocarpus opulifolius"|"common ninebark"|"12574114"|"71158113"
|12||"POCA19"|"Populus ×canadensis [deltoides × nigra]"|"Carolina poplar"|"12574114"|"71158935"
|12||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"12574114"|"71159279"
|9||"QUBI"|"Quercus bicolor"|"swamp white oak"|"12574114"|"71160263"
|5||"QUIM"|"Quercus imbricaria"|"Shingle oak"|"12574114"|"71160473"
|12||"QUPA2"|"Quercus palustris"|"pin oak"|"12574114"|"71160935"
|2||"SANIC4"|"Sambucus nigra subsp. canadensis"|"common elderberry"|"12574114"|"71161564"
|5||"THOC2"|"Thuja occidentalis"|"arborvitae"|"12574114"|"71162110"
|5||"THOC2"|"Thuja occidentalis"|"northern white-cedar"|"12574114"|"71162324"
|2||"VACO"|"Vaccinium corymbosum"|"highbush blueberry"|"12574114"|"71162446"
|3||"VILE"|"Viburnum lentago"|"nannyberry"|"12574114"|"71163020"
|2||"VIOPA2"|"Viburnum opulus var. americanum"|"American cranberrybush"|"12574114"|"71163401"
|3||"ASTR"|"Asimina triloba"|"common pawpaw"|"12574692"|"71167028"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"12574692"|"71167069"
