"Ap"||"A"|||0|0|0|15|20|28||20||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|96|100|1|5|10|0|0.2|1|0|0.8|2|0|1|3|0|1|3|0|2|3|63|71|79|||||||20|24|27|0|0|0|3.5|4|5||||1.25|1.35|1.45||||1.32|1.42|1.47||4.23|9.17|14.11|0.19|0.22|0.25||||29.9|31.6|33.3|15.1|17.8|20.6|40|44|48|1|1.8|2.9|37|42|47|13|16|18|13|17|22|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|2|17.3|20.3|22.6||||13.7|18.7|22.1|5.6|6.2|7.3||||||||||3.1|6.6|8.9|||||||||||||||||||||"12574349"|"35934924"
"A"||"A"|||15|20|28|25|46|50||26||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|92|96|99|1|5|10|0|0.2|1|0|0.8|2|0|1|3|0|1|3|0|2|3|58|66|72|||||||27|29|32|0|0|0|2.5|3|4.5||||1.25|1.35|1.45||||1.41|1.51|1.6||4.23|9.17|14.11|0.14|0.17|0.2||||31.5|32.5|34.4|17.6|19.2|22.6|41|45|48|3|3.9|5.9|42|45|52|18|20|22|19|22|27|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|20|23.7|26.1||||17|21|25.7|5.6|6.2|7.3||||||||||3|6.6|9.1|||||||||||||||||||||"12574349"|"35934925"
"2Bt3"|2|"B"||3|102|114|152|114|124|165||10||0|0|0|0|0|3|92|95|100|79|90|98|68|86|98|54|71|87|15|25|40|0|1|3|0|2|4|1|6|11|1|9|14|1|7|13|30|50|67|||||||18|25|30|0|0|0|0.1|0.3|0.5||||1.4|1.5|1.6||||1.54|1.64|1.64||4.23|9.17|14.11|0.13|0.16|0.19||||22.7|28.3|31.8|9.3|14.5|18.4|32|39|44|1|2.8|2.9|28|35|40|12|17|21|3|10|18|".43"|".43"|0|0|10|0|0|0|0|0|0|0|0|2|10|19.3|21||||8.6|19.2|40|6.1|7|7.8||||||||||0|3|5.7|||||||||||||||||||||"12574349"|"35934926"
"2C"|2|"C"|||114|124|165|152|152|200||28||0|0|1|0|1|2|92|96|100|79|91|98|66|83|98|46|62|80|15|37|45|1|3|6|2|4|8|4|9|20|8|13|18|1|8|14|28|44|70|||||||15|19|27|0|1|3|0.1|0.2|0.4||||1.65|1.75|1.78||||1.75|1.85|1.92||1.41|2.82|4.23|0.08|0.11|0.14||||22|26.8|32.2|8.9|12.7|19.3|26|30|35|0|1.7|2.9|24|29|37|8|12|19|0|4|14|".43"|".43"|15|25|40|0|0|0|0|2|6|0|0|2|6|14.3|18||||24.7|30|37|7.4|7.9|8.4||||||||||0|0|1.8|||||||||||||||||||||"12574349"|"35934927"
"Bt1"||"B"||1|25|46|50|75|81|100||35||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|92|96|99|1|5|10|0|0.2|1|0|0.8|2|0|1|3|0|1|3|0|2|3|50|58|64|||||||35|37|40|0|0|0|0.5|1|2||||1.3|1.4|1.5||||1.59|1.69|1.81||1.41|2.82|4.23|0.12|0.15|0.18||||33|34|35.5|20.2|21.9|24.8|41|44|48|6|6.5|8.9|46|49|55|25|26|29|25|29|34|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|2|25.5|28.1|30.8||||23.9|26|30.5|5.6|5.8|7.3||||||||||3|7.5|8.7|||||||||||||||||||||"12574349"|"35934928"
"Bt2"||"B"||2|75|81|100|102|114|152||33||0|0|0|0|0|0|100|100|100|100|100|100|93|98|100|87|93|100|2|8|15|0|0.5|1|0|1|2|0|1.8|4|0|2.2|5|0|2.5|6|50|60|73|||||||25|32|35|0|0|0|0.2|0.5|1||||1.3|1.4|1.5||||1.51|1.61|1.66||4.23|9.17|14.11|0.13|0.16|0.19||||29.2|32.1|33.4|14.3|18.5|20.8|41|44|48|3|4.7|5.9|35|43|47|17|23|25|13|24|27|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|2|17|24.3|26.8||||15.5|23.9|26.1|5.6|6.2|7.3||||||||||1.9|5.8|7.9|||||||||||||||||||||"12574349"|"35934929"
"Ap"||"A"|||0|0|0|25|53|61||53||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|91|95|100|1|6|10|0|0.1|0.3|0|0.3|0.7|0|1.1|3|0|2|5|0|2.5|5|55|63|72|||||||27|31|35|0|0|0|4|5.5|7||||1.2|1.3|1.4||||1.32|1.42|1.45||4.23|9.17|14.11|0.16|0.19|0.22||||32.1|34.3|36.1|18.7|22.4|26|41|45|49|3|3.1|5.9|45|51|58|18|21|24|18|24|30|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|2|23|26.3|29.6||||20.2|23.4|29.4|5.6|6|7.3||||||||||3.9|8.3|10.3|||||||||||||||||||||"12574350"|"35934930"
"Btg1"||"B"||1|25|53|61|102|112|152||59||0|0|0|0|0|0|100|100|100|100|100|100|95|99|100|89|95|100|1|6|10|0|0.1|0.3|0|0.3|0.7|0|1.1|3|0|2|5|0|2.5|5|53|62|74|||||||25|32|37|0|0|0|0.3|1.1|2||||1.25|1.35|1.45||||1.45|1.55|1.6||4.23|9.17|14.11|0.15|0.18|0.21||||28.9|32.1|34.2|13.9|18.6|22.3|42|46|50|3|4.6|5.9|36|44|51|17|23|26|14|23|30|".37"|".37"|0|0|5|0|0|0|0|0|0|0|0|2|19.4|25.4|29.7||||18.5|24.9|68.7|6.1|7|7.8||||||||||0.8|4|7.2|||||||||||||||||||||"12574350"|"35934931"
"2Btg2"|2|"B"||2|102|112|152|114|175|191||63||0|0|0|0|0|0|100|100|100|85|91|98|76|89|98|63|79|97|2|16|30|0|0.5|2|0|1|3|1|4|10|1|7|15|0|3.5|10|33|56|78|||||||20|28|37|0|0|0|0.2|0.4|0.6||||1.4|1.5|1.6||||1.57|1.67|1.78||4.23|9.17|14.11|0.12|0.15|0.18||||25.2|29.6|34.2|11.2|16.4|22.7|34|39|44|3|3.5|5.9|30|39|48|13|19|26|5|14|28|".43"|".43"|0|7|15|0|0|0|0|0|0|0|0|2|15.6|21.7|28.3||||14|60.4|67.3|6.6|7.6|7.8||||||||||0.4|1.7|5.2|||||||||||||||||||||"12574350"|"35934932"
"2C"|2|"C"|||114|175|191|152|200|200||25||0|0|0|0|1|2|94|95|100|84|91|98|75|89|98|63|78|96|2|16|30|0|0.5|2|0|1|3|1|4|10|1|7|15|0|3.5|10|40|56|83|||||||15|28|30|0|0|0|0|0.2|0.5||||1.6|1.7|1.78||||1.79|1.89|1.93||1.41|2.82|4.23|0.08|0.11|0.15||||22.8|28.7|31.8|9|18.1|20.9|27|32|37|1|2.9|2.9|25|38|41|9|19|21|3|13|21|".43"|".43"|5|17|30|0|0|0|0|0|0|0|0|2|10.9|21.1|23.3||||44.2|59.8|62.3|7.4|8|8.4||||||||||0|0.4|2.4|||||||||||||||||||||"12574350"|"35934933"
