35029|"296906"|"1416056"|"17094786"
32320|"296907"|"1416056"|"17095077"
2331|"296908"|"1416056"|"17095207"
378|"296909"|"1416056"|"17095321"
35029|"296911"|"1416056"|"17095561"
12751|"296911"|"1386845"|"17095501"
201|"296909"|"1386845"|"17095336"
2060|"296908"|"1386845"|"17095288"
10490|"296907"|"1386845"|"17095117"
12751|"296906"|"1386845"|"17094887"
25304|"296911"|"1029933"|"17095430"
169|"296909"|"1029933"|"17095361"
9389|"296908"|"1029933"|"17095242"
15746|"296907"|"1029933"|"17095014"
25304|"296906"|"1029933"|"17094842"
55131|"296911"|"1029931"|"17095439"
420|"296909"|"1029931"|"17095371"
6926|"296908"|"1029931"|"17095246"
47785|"296907"|"1029931"|"17095020"
55131|"296906"|"1029931"|"17094847"
10278|"296911"|"1029926"|"17095436"
5|"296909"|"1029926"|"17095369"
73|"296908"|"1029926"|"17095251"
10200|"296907"|"1029926"|"17095016"
10278|"296906"|"1029926"|"17094851"
14731|"296911"|"263404"|"17095406"
165|"296909"|"263404"|"17095357"
2107|"296908"|"263404"|"17095186"
12459|"296907"|"263404"|"17094967"
14731|"296906"|"263404"|"17094772"
12362|"296911"|"263390"|"17095416"
99|"296909"|"263390"|"17095355"
844|"296908"|"263390"|"17095192"
11419|"296907"|"263390"|"17094973"
12362|"296906"|"263390"|"17094778"
