"smectitic"|"12574349"|"9800450"
"mixed"|"12574350"|"9800451"
"mixed"|"12574336"|"9800483"
"mixed"|"12574337"|"9800482"
"mixed"|"12574338"|"9800481"
"mixed"|"12574379"|"9800811"
"mixed"|"12574352"|"9800452"
"smectitic"|"12574353"|"9800453"
"mixed"|"12574354"|"9800454"
"mixed"|"12574333"|"9800605"
"smectitic"|"12574334"|"9800444"
"mixed"|"12574335"|"9800445"
"mixed"|"12574033"|"9800659"
"mixed"|"12574034"|"9800557"
"smectitic"|"12574274"|"9800611"
"mixed"|"12574275"|"9800610"
"mixed"|"12574276"|"9800430"
